State,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
United States,59039,56516,53657,51939,51017,50054,49276,49777,50303,50233,48201,46326,44334,43318,42409,42228,41990,40696
Alabama,47221,44509,42278,41381,43464,42590,40933,39980,44476,42212,37952,37150,36629,37255,37603,35160,35424,36251
Alaska,75723,75112,67629,61137,63648,57431,57848,61604,63989,62993,56418,55891,55063,51837,52774,57363,52847,51396
Arizona,57100,52248,49254,50602,47044,48621,46896,45739,46914,47215,46657,45245,43846,41166,39734,42704,39783,36995
Arkansas,45907,42798,44922,39919,39018,41302,38587,36538,39586,40795,37057,36658,34984,32002,32387,33339,29697,29682
California,66637,63636,60487,57528,57020,53367,54283,56134,57014,55734,55319,51755,49222,49300,47437,47262,46816,43629
Colorado,70566,66596,60940,63371,57255,58629,60233,55930,60943,61141,55697,50449,50886,49940,48294,49397,48240,48177
Connecticut,75923,72889,70161,67781,64247,65415,65998,64851,64682,64141,62404,56835,55100,54965,53387,53347,50172,50593
Delaware,58046,57756,57522,52219,48972,54660,55214,52114,50702,54589,52438,51235,48049,49019,49650,49602,50365,46628
D.C.,70982,70071,68277,60675,65246,55251,56928,53141,55590,50783,48477,44993,43451,45044,39070,41169,41222,38670
Florida,51176,48825,46140,47886,46071,45105,44066,45631,44857,45794,45676,42990,40535,38972,38024,36421,38856,35831
Georgia,53527,50768,49555,47439,48121,45973,44117,43340,46227,48641,49344,45926,40984,42438,42939,42576,41901,39425
Hawaii,72133,64514,71223,61408,56263,59047,59539,55649,61521,64022,60470,59586,56242,51834,47303,47439,51546,44504
Idaho,56564,51624,53438,51767,47922,47459,47050,46778,47420,49184,46213,44176,44358,42372,37715,38241,37611,35800
Illinois,61386,60413,54916,57196,51738,50637,50728,52870,53254,52506,48671,48398,46077,45153,42710,46171,46064,46330
Indiana,56094,51983,48060,50553,46158,44445,46139,44305,46520,47453,45407,42437,42329,42425,41047,40379,40865,40838
Iowa,59094,60855,57810,54855,53442,50219,49016,50721,50142,48908,48126,46500,43391,41384,41049,40976,40991,41098
Kansas,56810,54865,53444,51485,50003,46147,46054,44717,47877,48497,45552,42027,41066,44232,42619,41415,41059,37348
Kentucky,45369,42387,42786,42158,41086,39856,41104,42664,41148,39452,39485,36699,35610,36936,36762,38437,36265,33738
Louisiana,42196,45922,42406,39622,39085,40658,39300,45433,39563,41313,36488,37236,36429,33507,34008,33322,30718,32654
Maine,50856,50756,51710,50121,49158,49693,47931,47502,47228,47894,45642,43923,41329,37113,36853,36612,37266,38862
Maryland,73760,73594,76165,65262,71836,68876,64201,64186,63711,65630,63668,60512,57103,52314,56407,53530,54535,52205
Massachusetts,72266,67861,63151,62963,63656,63313,60934,59373,60320,58463,55330,56017,52019,50955,49855,52253,46753,44005
Michigan,57091,54203,52005,48801,50015,48879,46276,45994,49788,49370,48647,45933,42256,45022,42715,45047,45512,46089
Minnesota,70218,68730,67244,60907,61795,57820,52321,56090,54925,58058,56211,54215,56104,52823,54622,52681,54251,47038
Mississippi,41099,40037,35521,40850,36641,41090,38160,35078,36446,37279,34733,32875,34755,32728,30882,30161,34299,32478
Missouri,55016,59196,56630,50311,49764,45774,45817,48769,46038,46005,44579,42986,42137,43762,42776,41339,45097,41383
Montana,57075,51395,51102,44132,45088,40277,41280,40437,42900,43655,41105,37313,33956,34108,34835,32126,32777,31038
Nebraska,59374,60474,56870,53774,52196,55616,52504,49595,50728,49174,48145,47923,43786,43974,42796,43611,41750,38626
Nevada,55431,52008,49875,45369,47333,47043,51200,51434,54744,54058,52282,48209,47204,45184,44958,45403,45758,41461
New Hampshire,76260,75675,73397,71322,67819,65880,66633,64131,66176,67576,61970,56984,56815,55567,55321,51331,50926,46055
New Jersey,68468,68357,65243,61782,66692,62338,62968,64777,65306,60508,68059,63368,55275,56045,54568,51771,50405,49734
New Mexico,48451,45119,46686,42127,43424,41982,45134,43542,42102,44356,40028,38947,39562,35105,35457,33124,35093,32574
New York,61437,58005,54310,53843,47680,50636,49781,50216,50461,48944,48222,47176,44649,42788,41966,42114,40744,39989
North Carolina,53764,50797,46784,41208,41553,45206,43830,41906,42930,43513,39797,42056,40238,37279,36515,38162,38317,37254
North Dakota,60184,57415,60730,52888,55766,56361,51006,50075,49631,47205,41047,42192,39220,40410,36200,35793,35996,32663
Ohio,53985,53301,49644,46398,44375,44648,45886,45879,46934,49099,45900,44203,43055,43520,42684,41785,42962,39489
Oklahoma,50943,47077,47199,43777,48407,48455,43103,45878,46111,43216,38838,37645,39614,35902,36458,35609,32432,32683
Oregon,59135,60834,58875,56307,51775,51526,50602,49098,51727,50236,47091,44159,40994,41638,41802,41273,42499,40619
Pennsylvania,60979,60389,55173,53952,51904,49910,48314,48172,51402,48437,48477,46300,44106,42933,42498,43499,42176,37758
Rhode Island,61528,55701,58633,57812,56065,49033,51623,51634,53241,54210,53736,49484,47935,44711,42417,45723,42197,42719
South Carolina,54336,46360,44929,43749,44401,40084,41698,41101,42155,44213,39617,40230,38691,38479,37812,37736,37570,36462
South Dakota,57450,55065,53053,54453,49415,47223,45352,45826,51600,46418,45427,43151,41107,39522,37873,39671,36475,35828
Tennessee,51344,47330,43716,42499,42995,42279,38591,40517,39702,41195,40693,39406,38072,37523,37030,35783,34096,36522
Texas,58146,56473,53875,53027,51926,49047,47266,47475,46490,46053,43307,41422,41397,39271,40149,40860,38609,38688
Utah,67481,66258,63383,62967,58341,55493,56701,58491,62537,53529,54628,54813,50871,49275,47861,47342,47550,46050
Vermont,60837,59494,60708,54842,55582,51862,55928,52318,50706,47390,51981,50704,47329,43261,42999,40794,39594,41584
Virginia,66451,61486,66155,67620,64632,62616,60367,60501,61985,59161,57119,51914,51141,54783,49631,50241,47163,45693
Washington,70310,67243,59068,60106,62187,56850,56163,60392,56631,58080,54723,50646,49922,47508,45183,42490,42525,45473
West Virginia,44354,42824,39552,40241,43553,41821,42777,40490,37994,42091,38419,36445,33373,32763,29359,29673,29411,29297
Wisconsin,59817,55425,58080,55258,53079,52058,50351,51237,51200,51277,51692,44650,45732,46269,45903,45346,45088,45667
Wyoming,57829,60925,55690,55700,57512,54509,52201,52470,53337,48744,47041,44718,45397,42555,39763,39719,39629,37248
